Date vs Times mlt
Start Time:  Mar 01 2012 00:00:00.000
End Time:  Mar 30 2012 00:00:00.000
Flavor:  Chocolate
Thing 1:  Yes
Thing 2:  Yes



      Date       TIME1      TIME2  
   03/01/2012   13:44:02   07:44:02
   03/02/2012   13:44:04   07:44:04
   03/03/2012   13:44:05   07:44:05
   03/04/2012   13:44:05   07:44:05
   03/05/2012   13:44:06   07:44:06
   03/06/2012   13:44:07   08:44:07
   03/07/2012   13:44:07   08:44:07
   03/08/2012   13:44:08   08:44:08
   03/09/2012   13:44:08   08:44:08
   03/10/2012   13:44:09   08:44:09
   03/11/2012   13:44:09   08:44:09
   03/12/2012   13:44:10   08:44:10
   03/13/2012   13:44:11   08:44:11
   03/14/2012   13:44:11   08:44:11
   03/15/2012   13:44:12   08:44:12
   03/16/2012   13:44:12   08:44:12
   03/17/2012   13:44:13   08:44:13
   03/18/2012   13:44:13   08:44:13
   03/19/2012   13:44:14   08:44:14
   03/20/2012   13:44:15   08:44:15
   03/21/2012   13:44:15   08:44:15
   03/22/2012   13:44:16   08:44:16
   03/23/2012   13:44:16   08:44:16
   03/24/2012   13:44:17   09:44:17
   03/25/2012   13:44:18   09:44:18
   03/26/2012   13:44:18   09:44:18
   03/27/2012   13:44:19   10:44:19
   03/28/2012   13:44:20   10:44:20
   03/29/2012   13:44:20   10:44:20
