decimal vs decimal   a vs l
Start Time:  Mar 01 2012 00:00:00.000
End Time:  Mar 30 2012 00:00:00.000
Flavor:  Chocolate
Thing 1:  Yes
Thing 2:  Yes

Below Data Referenced to:Stuff


       Independent       Dependent
         (deg)              (km)
       9.808158471     704.360915898
      13.431327551     704.094622611
      17.053222206     703.849543431
      20.675929032     704.045013598
      24.291711657     704.658510987
      27.902626651     705.255021314
      31.508471123     705.590183380
      35.108919844     705.891159699
      38.705597184     706.563582509
      42.290287604     707.588132404
      45.864077781     708.521862935
      49.425407756     709.116939079
      52.971937700     709.596211937
      56.502156197     710.360733743
      60.003363146     711.393607028
      63.469052795     712.254960420
      66.885216425     712.701241307
      70.227915100     712.958455027
      73.455742093     713.433355962
      76.479426330     714.110474218
      79.133758138     714.561933900
      81.084793332     714.554153483
      81.814014820     714.322271826
      81.017078147     714.286665090
      79.022422260     714.431389674
      76.345223235     714.344336459
      73.309996375     713.803291261
      70.078431483     713.054802899
      66.728613192     712.534744130
      63.309283659     712.226742465
      59.841897254     711.731260015
      56.340141606     710.834314206
      52.812422091     709.791548578
      49.262010829     709.049630189
      45.699692171     708.592844976
      42.125678803     708.025647377
      38.541493244     707.135741369
      34.948180706     706.181666592
      31.344322572     705.610715916
      27.737931132     705.410527535
      24.127167519     705.178586661
      20.512229157     704.696896053
      16.893254259     704.218924200
      13.268165425     704.181637193
       9.644669664     704.576439466
       6.020619277     704.985751825
       2.396027183     705.180533576
      -1.229106606     705.402832239
      -4.856955764     706.071831441
      -8.479869567     707.182000997
     -12.100007266     708.298640381
     -15.717350910     709.180891201
     -19.331889729     710.057506593
     -22.945722241     711.328822957
     -26.551228856     712.991937258
     -30.150375148     714.599838930
     -33.742909558     715.904138913
     -37.328480387     717.123525191
     -40.908601242     718.645882654
     -44.475115150     720.468604854
     -48.028787503     722.142872162
     -51.567683845     723.420289878
     -55.088911537     724.516559875
     -58.589976018     725.818342720
     -62.056919118     727.320197492
     -65.480501368     728.583084113
     -68.841963741     729.366138647
     -72.108335408     729.890062910
     -75.219750674     730.551638961
     -78.048497870     731.340469805
     -80.349407230     731.835359088
     -81.674879739     731.807799478
     -81.552942732     731.489493659
     -80.034407339     731.295206060
     -77.624629849     731.208154650
     -74.739511977     730.827163738
     -71.600261516     729.936600770
     -68.315476863     728.781286678
     -64.938654976     727.796277943
     -61.506518141     726.957213239
     -58.034456685     725.878741697
     -54.532825994     724.354072020
     -51.008127068     722.638859905
     -47.462550296     721.183502118
     -43.905956006     719.958490506
     -40.338088700     718.584093758
     -36.760117047     716.855142872
     -33.172872673     715.031914230
     -29.574846305     713.569811678
     -25.973801188     712.437812615
     -22.367805398     711.249595610
     -18.756964735     709.793659996
     -15.141390871     708.326967767
     -11.519028292     707.297968956
      -7.897504291     706.677685844
      -4.274623169     706.063426428
      -0.650362162     705.231656280
       2.975257047     704.429428349
       6.604369296     704.089888926
