DateTime vs Times   pap
Start Time:  Mar 01 2012 00:00:00.000
End Time:  Mar 30 2012 00:00:00.000
Flavor:  Chocolate
Thing 1:  Yes
Thing 2:  Yes

         Date/Time                Value 1.           Value 2.
           (UTC)                   (sec)               (m)
   03/05/2012 02:00:53.120     488.640000089   -2498.505421029
   03/05/2012 05:18:39.162     488.734999951   -1079.708560263
   03/05/2012 06:57:32.279     488.747000112   -2084.878902385
   03/05/2012 08:36:25.518     488.832000154   -2737.301320202
   03/05/2012 10:15:18.633     488.887999963   -2120.317200485
   03/05/2012 11:54:11.702     488.935999980   -1432.663638951
   03/05/2012 13:33:04.722     488.975000032   -1060.243823024
   03/05/2012 15:11:57.768     489.029999985   -2770.865890334
   03/05/2012 16:50:50.801     489.085999795   -2495.750233938
   03/05/2012 18:29:43.838     489.134999982   -1732.197279488
   03/05/2012 20:08:36.905     489.182999998    0
   03/05/2012 21:47:30.026     489.193000132   -2185.444987431
   03/05/2012 23:26:23.156     489.281000057    0.000
   03/06/2012 01:05:16.203     489.336000010   -2103.681699478
   03/06/2012 02:44:09.223     489.383000170   -1414.389369542
   03/06/2012 04:23:02.241     489.420000196   -1128.101285951
   03/06/2012 06:01:55.365     489.473999979   -0.0
   03/06/2012 07:40:48.521     489.530000102   -2484.837977026
   03/06/2012 09:19:41.682     489.583000029   -1719.633546353
   03/06/2012 10:58:34.781     489.631999901    -950.423619691
   03/06/2012 12:37:27.880     489.683999971   -2274.907860324
   03/06/2012 14:16:20.886     489.728999790   -2752.320918418
   03/06/2012 15:55:13.881     489.785000228   -2089.302501223
   03/06/2012 17:34:06.931     489.828000020   -1400.650638094
   03/06/2012 19:12:59.950     489.864999731   -1200.994547215
   03/06/2012 20:51:53.098     489.923000196   -2846.533060945
   03/06/2012 22:30:46.202     489.980000176   -2472.283235553
   03/07/2012 00:09:39.257     490.030000219   -1736.902485190
   03/07/2012 01:48:32.299     490.080999804    -947.833485706
   03/07/2012 03:27:25.355     490.132000018   -2365.605263946
   03/07/2012 05:06:18.383     490.178999864   -2755.382774081
   03/07/2012 06:45:11.473     490.232000104   -2072.882522489
