Long DateTime vs decimal
Start Time:  Jun 27 2012 00:00:00.000
End Time:  later
Flavor:  Chocolate

   		Date/Time                Value 1. 
           (UTC)                   (sec) 
   Jun 21 2012 01:01:00.000    7096.252838556
   Jun 21 2012 01:02:00.000    7096.101542461
   Jun 21 2012 01:03:00.000    7095.722008698
   Jun 21 2012 01:04:00.000    7095.129715196
   Jun 21 2012 01:05:00.000    7094.348767049
   Jun 22 2012 01:06:00.000    7093.415887376
   Jun 22 2012 01:07:00.000    7092.385840879
